SA2_CODE21,zero_car_pct,avg_cars
206011106,0.1881,1.12
206011107,0.1518,1.266
206011109,0.0712,1.723
206011495,0.2025,1.167
206011496,0.2218,1.096
206011497,0.1471,1.348
206011498,0.1148,1.49
206021110,0.1201,1.437
206021112,0.1435,1.353
206021499,0.1324,1.376
206021500,0.1412,1.265
206031113,0.1201,1.416
206031115,0.2193,1.071
206031116,0.1539,1.355
206031501,0.073,1.714
206031502,0.1015,1.458
206041117,0.4907,0.652
206041118,0.4086,0.735
206041119,0.1905,1.15
206041120,0.0882,0.853
206041121,0.1692,1.173
206041124,0.1791,1.144
206041125,0.2004,1.089
206041127,,
206041503,0.6627,0.388
206041504,0.7756,0.25
206041505,0.6878,0.35
206041506,0.3328,0.861
206041507,,
206041508,0.3626,0.754
206041509,0.4218,0.673
206041510,0.3624,0.791
206051128,0.1512,1.219
206051129,0.113,1.299
206051130,0.1215,1.286
206051134,0.19,1.124
206051511,0.1725,1.24
206051512,0.2284,1.033
206051513,0.2428,0.975
206051514,0.2412,1.003
206061135,0.1336,1.318
206061136,0.2229,1.069
206061138,0.0874,1.586
206061515,0.3165,0.862
206061516,0.2658,0.997
206071139,0.2131,1.052
206071140,0.1618,1.255
206071141,0.2884,0.918
206071142,0.2749,0.969
206071143,0.1931,1.175
206071145,0.0951,1.398
206071517,0.1595,1.214
206071518,0.2337,1.028
207011146,0.0664,1.712
207011147,0.0696,1.653
207011148,0.0416,1.899
207011149,0.0581,1.7
207011150,0.0369,1.808
207011152,0.1112,1.418
207011154,0.0432,1.785
207011155,0.0527,1.76
207011519,0.126,1.386
207011520,0.153,1.273
207011521,0.0526,1.697
207011522,0.0694,1.65
207021156,0.0606,1.807
207021157,0.0705,1.579
207021159,0.0293,2.031
207021160,0.0352,1.841
207021424,0.0319,1.922
207021425,0.0521,1.638
207031161,0.0604,1.659
207031162,0.0896,1.685
207031163,0.1807,1.283
207031164,0.0689,1.652
207031165,0.1199,1.501
207031166,0.0698,1.666
207031167,0.0504,1.711
208011168,0.0284,1.941
208011169,0.0495,1.726
208011170,0.0368,1.826
208011171,0.0603,1.636
208011172,0.0681,1.677
208011173,0.055,1.709
208021174,0.0731,1.608
208021176,0.1272,1.33
208021177,0.1028,1.49
208021178,0.0612,1.67
208021179,0.1021,1.414
208021180,0.0976,1.519
208021181,0.0921,1.538
208021182,0.1172,1.379
208021426,0.0451,1.75
208021427,0.0495,1.773
208031183,0.0235,2.109
208031184,0.0,1.067
208031185,0.0596,1.77
208031186,0.0736,1.527
208031187,0.0381,1.824
208031188,0.0717,1.563
208031189,0.0453,1.764
208031190,0.0752,1.56
208031191,0.0616,1.688
208031192,,
208031193,0.0629,1.689
208041194,0.0827,1.529
208041195,0.0847,1.628
209011196,0.0545,1.828
209011197,0.0432,1.85
209011198,0.0739,1.554
209011199,0.1134,1.475
209011200,0.0743,1.622
209011201,0.0361,1.927
209011202,0.0279,1.841
209011203,0.0428,1.763
209011204,0.0636,1.73
209021205,0.095,1.687
209021428,0.142,1.353
209021429,0.1036,1.488
209021523,0.1076,1.458
209021524,0.0828,1.755
209021525,0.1464,1.393
209021526,0.1081,1.441
209031209,0.0195,2.065
209031210,0.0222,2.191
209031211,0.005,2.352
209031212,0.0096,2.576
209031213,0.0154,2.327
209031214,0.0125,2.37
209031215,0.0176,2.235
209041216,0.0621,1.832
209041217,0.0794,1.68
209041220,0.0358,1.986
209041221,0.0391,1.923
209041223,0.0926,1.632
209041224,0.0139,2.166
209041225,0.024,2.154
209041431,0.039,1.925
209041432,0.0723,1.682
209041433,0.0277,1.887
209041435,0.0147,2.103
209041436,0.0354,1.937
209041437,0.019,1.888
209041527,0.0143,2.017
209041528,0.0157,1.917
209041529,0.1043,1.589
209041530,0.0701,1.799
209041531,0.0285,1.79
209041532,0.0135,1.94
210011226,0.0673,1.633
210011227,,
210011228,0.0454,1.973
210011230,0.0528,1.794
210011231,0.0345,1.942
210011533,0.0674,1.749
210011534,0.0483,1.826
210021232,0.0165,2.191
210021233,0.0134,2.18
210021234,0.0139,2.291
210021235,0.0109,2.317
210031236,0.1065,1.499
210031237,0.1026,1.59
210031439,0.0323,1.904
210031440,0.0842,1.654
210031535,0.1068,1.503
210031536,0.104,1.484
210031537,0.0661,1.584
210031538,0.0773,1.549
210041240,0.0197,2.143
210041539,0.0178,1.925
210041540,0.063,1.778
210041541,0.0225,2.042
210051242,0.1391,1.494
210051243,0.0915,1.712
210051245,0.0464,1.87
210051246,0.0153,2.275
210051247,0.0618,1.861
210051248,0.0,2.1
210051250,0.0662,1.592
210051441,0.0477,1.892
210051442,0.0279,1.972
210051443,0.0325,1.993
210051445,0.0153,1.982
210051542,0.0273,1.807
210051543,0.0383,1.743
210051544,0.0464,2.033
210051545,0.0264,2.114
211011251,0.0558,1.691
211011254,0.0233,1.93
211011255,0.0094,2.432
211011256,0.0287,2.045
211011257,0.0188,2.113
211011258,0.0136,2.213
211011259,0.0303,1.92
211011260,0.0559,1.878
211011446,0.0514,1.715
211011447,0.0555,1.77
211011448,0.0329,1.989
211011449,0.0227,2.111
211021261,0.0282,2.116
211021262,0.0085,2.448
211031263,0.0379,1.931
211031265,0.0171,2.117
211031266,0.0855,1.542
211031267,0.0437,1.755
211031268,0.0222,2.019
211031450,0.0571,1.637
211031451,0.0565,1.741
211031452,0.0295,1.897
211041269,0.0742,1.628
211041270,0.0613,1.648
211041271,0.0679,1.634
211041272,0.0315,1.826
211041273,0.0324,1.942
211051274,0.0189,2.179
211051275,0.0228,2.051
211051276,0.0267,2.055
211051277,0.0455,1.832
211051278,0.0418,1.972
211051279,0.0237,2.249
211051280,0.0332,2.155
211051281,0.0323,1.981
211051282,0.0151,2.067
211051283,0.0188,2.183
211051284,0.0243,2.033
211051285,0.0157,2.384
211051286,0.0299,2.086
212011289,0.011,2.354
212011546,0.0182,1.985
212011547,0.0175,2.353
212011548,0.0247,2.183
212011549,0.0324,1.856
212011550,0.0171,1.935
212011551,0.0697,1.615
212011552,0.0326,1.889
212021293,0.0423,1.902
212021295,0.0963,1.628
212021297,0.0441,1.879
212021299,0.007,2.683
212021453,0.0302,2.07
212021454,0.0351,2.011
212021455,0.027,2.074
212021456,0.0484,1.845
212021553,0.014,2.088
212021554,0.0171,2.004
212031300,0.0576,1.809
212031303,0.0141,2.157
212031304,0.0183,1.954
212031306,0.0216,2.069
212031308,0.0146,2.386
212031457,0.0125,2.338
212031458,0.0208,2.162
212031555,0.0082,1.981
212031556,0.0085,2.022
212031557,0.0227,1.922
212031558,0.0239,1.846
212031559,0.0143,2.017
212031560,0.027,2.001
212031561,0.0348,1.998
212031562,0.0522,1.87
212041309,0.0617,1.8
212041310,0.0906,1.59
212041312,0.0585,1.822
212041313,0.0306,1.973
212041316,0.0623,1.787
212041317,0.1032,1.656
212041318,0.0592,1.913
212041459,0.0952,1.499
212041460,0.0931,1.681
212041563,0.1384,1.423
212041564,0.1064,1.627
212041565,0.0606,1.926
212041566,0.0126,2.17
212051319,0.0762,1.649
212051321,0.0525,1.808
212051322,0.0598,1.709
212051323,0.0377,1.796
212051324,0.0471,1.79
212051325,0.0382,1.894
212051326,0.0858,1.623
212051327,0.0675,1.882
212051567,0.2005,1.232
212051568,0.1304,1.439
213011328,0.1439,1.408
213011329,0.0281,2.167
213011331,0.0593,1.904
213011332,0.0447,1.947
213011333,0.0659,1.801
213011334,0.1048,1.601
213011335,0.1037,1.646
213011336,0.1226,1.462
213011337,0.0886,1.734
213011338,0.0786,1.722
213011339,0.0464,1.881
213011340,0.0286,2.231
213011569,0.0579,1.773
213011570,0.0227,2.079
213021341,0.0815,1.577
213021342,0.058,1.714
213021343,0.0967,1.603
213021344,0.0552,1.623
213021345,0.0275,1.906
213021346,0.0849,1.617
213031347,0.1143,1.507
213031348,0.2133,1.085
213031349,0.0679,1.556
213031350,0.1133,1.321
213031351,0.1183,1.384
213031352,0.094,1.472
213041353,0.0374,1.988
213041358,0.0309,1.936
213041359,0.0206,1.918
213041360,0.0193,2.159
213041461,0.0542,1.956
213041462,0.0164,2.103
213041463,0.0254,1.998
213041571,0.0475,1.927
213041572,0.0184,1.884
213041573,0.0096,2.099
213041574,0.0109,2.011
213041575,0.0182,2.246
213041576,0.0241,2.072
213041577,0.0955,1.566
213041578,0.0618,1.662
213051361,0.043,1.978
213051362,0.0568,1.755
213051363,0.0697,1.628
213051368,0.0598,1.738
213051464,0.0217,1.889
213051466,0.0221,1.771
213051467,0.0872,1.627
213051468,0.0361,1.835
213051579,0.0264,1.669
213051580,0.0314,1.861
213051581,0.023,1.839
213051582,0.0213,1.792
213051583,0.0249,1.872
213051584,0.0187,1.841
213051585,0.0304,1.849
213051586,0.0208,1.837
213051587,0.0164,1.826
213051588,0.0217,1.842
213051589,0.0315,1.681
213051590,0.0415,1.821
214011370,0.0457,1.788
214011371,0.1009,1.531
214011372,0.083,1.589
214011373,0.04,1.921
214011374,0.0244,2.052
214011375,0.0733,1.61
214011376,0.0146,2.1
214021377,0.035,1.823
214021378,0.0084,2.2
214021379,0.0393,1.856
214021381,0.0202,2.124
214021382,0.0214,1.99
214021383,0.0274,1.839
214021384,0.0578,1.671
214021385,0.0292,2.082
214021591,0.0445,1.791
214021592,0.0631,1.611
