SA2_CODE21,SA2_NAME21,library_count
206011496,Brunswick - South,1
206011497,Coburg - East,1
206021499,Northcote - East,1
206041117,Carlton,2
206041118,Docklands,1
206041119,East Melbourne,1
206041125,South Yarra - West,1
206041503,Melbourne CBD - East,2
206041509,Southbank - East,1
206051128,Albert Park,1
206051130,Port Melbourne,1
206051512,South Melbourne,1
206061136,Prahran - Windsor,1
206071143,Fitzroy North,1
207011149,Camberwell,1
207021157,Doncaster,1
207031163,Box Hill,1
208041194,Malvern - Glen Iris,1
209011197,Greensborough,1
209011198,Heidelberg - Rosanna,1
209021429,Preston - West,1
209031209,Eltham,1
210041240,Sunbury,1
210051242,Broadmeadows,1
211041271,Nunawading,1
212031300,Cranbourne,1
212041317,Springvale,1
212051321,Glen Waverley - East,1
212051323,Mount Waverley - North,1
212051326,Oakleigh - Huntingdale,1
212051327,Wheelers Hill,1
213011336,Sunshine,1
213021341,Altona,1
213021344,Newport,1
213021346,Williamstown,1
213031348,Footscray,1
213041577,Melton,1
213051368,Werribee - South,1
213051466,Point Cook - South,1
214011371,Frankston,1
