SA2_CODE21,SA2_NAME21,population,IRSD_score,IRSD_decile,library_count,libraries_per_10000,mean_weekly_income,bach_pct,avg_cars
206011106,Brunswick East,12738.0,1076.0,9.0,0.0,0.0,1402.0,0.7305,1.12
206011107,Brunswick West,14318.0,1047.0,7.0,0.0,0.0,1224.0,0.659,1.266
206011109,Pascoe Vale South,10390.0,1069.0,9.0,0.0,0.0,1209.0,0.5745,1.723
206011495,Brunswick - North,12890.0,1054.0,8.0,0.0,0.0,1278.0,0.7234,1.167
206011496,Brunswick - South,12983.0,1068.0,9.0,1.0,0.7702380035430948,1356.0,0.7346,1.096
206011497,Coburg - East,12535.0,1027.0,6.0,1.0,0.7977662544874351,1133.0,0.6196,1.348
206011498,Coburg - West,14031.0,1042.0,7.0,0.0,0.0,1181.0,0.6235,1.49
206021110,Alphington - Fairfield,8994.0,1070.0,9.0,0.0,0.0,1389.0,0.7047,1.437
206021112,Thornbury,18919.0,1048.0,7.0,0.0,0.0,1273.0,0.6559,1.353
206021499,Northcote - East,15068.0,1064.0,8.0,1.0,0.6636580833554553,1410.0,0.7177,1.376
206021500,Northcote - West,10299.0,1080.0,9.0,0.0,0.0,1443.0,0.733,1.265
206031113,Ascot Vale,15191.0,1015.0,6.0,0.0,0.0,1376.0,0.6166,1.416
206031115,Flemington,9065.0,929.0,2.0,0.0,0.0,1188.0,0.6347,1.071
206031116,Moonee Ponds,16224.0,1067.0,9.0,0.0,0.0,1357.0,0.6377,1.355
206031501,Essendon (West) - Aberfeldie,16042.0,1073.0,9.0,0.0,0.0,1297.0,0.5616,1.714
206031502,Essendon - East,12191.0,1071.0,9.0,0.0,0.0,1362.0,0.6198,1.458
206041117,Carlton,16655.0,962.0,3.0,2.0,1.2008405884118885,948.0,0.7111,0.652
206041118,Docklands,15493.0,1044.0,7.0,1.0,0.6454527851287678,1378.0,0.6785,0.735
206041119,East Melbourne,4896.0,1107.0,10.0,1.0,2.042483660130719,1784.0,0.7307,1.15
206041120,Flemington Racecourse,77.0,1119.0,10.0,0.0,0.0,1236.0,0.6029,0.853
206041121,Kensington (Vic.),10745.0,1044.0,7.0,0.0,0.0,1459.0,0.7159,1.173
206041124,Parkville,7297.0,1055.0,8.0,0.0,0.0,948.0,0.7148,1.144
206041125,South Yarra - West,6423.0,1103.0,10.0,1.0,1.5569048731122528,1707.0,0.6994,1.089
206041503,Melbourne CBD - East,9848.0,995.0,5.0,2.0,2.0308692120227456,1153.0,0.642,0.388
