SA2_CODE21,SA2_NAME21,population,IRSD_score,IRSD_decile
101021007,Braidwood,4343,1024,6
101021008,Karabar,8517,994,5
101021009,Queanbeyan,11342,1010,5
101021010,Queanbeyan - East,5085,1025,6
101021012,Queanbeyan West - Jerrabomberra,12744,1098,10
101021610,Googong,6224,1128,10
101021611,Queanbeyan Surrounds,16539,1098,10
101031013,Bombala,2454,965,3
101031014,Cooma,6761,982,4
101031015,Cooma Surrounds,3472,1039,7
101031016,Jindabyne - Berridale,8035,1054,8
101041017,Batemans Bay,8581,946,2
101041018,Batemans Bay - South,8938,989,4
101041019,Bega - Tathra,8872,975,4
101041020,Bega-Eden Hinterland,9557,991,4
101041021,Broulee - Tomakin,3792,1034,7
101041022,Deua - Wadbilliga,43,1025,6
101041023,Eden,3425,910,2
101041024,Eurobodalla Hinterland,3525,995,5
101041025,Merimbula - Tura Beach,11513,1012,6
101041026,Moruya - Tuross Head,8600,993,5
101041027,Narooma - Bermagui,9888,986,4
101051539,Goulburn,24565,957,3
101051540,Goulburn Surrounds,13839,1017,6
101061541,Yass,6763,1018,6
101061542,Yass Surrounds,12713,1086,10
101061543,Young,11004,940,2
101061544,Young Surrounds,7677,970,3
102011028,Avoca Beach - Copacabana,7513,1079,9
102011029,Box Head - MacMasters Beach,11042,1064,8
102011030,Calga - Kulnura,4716,1027,6
102011031,Erina - Green Point,14758,1033,7
102011032,Gosford - Springfield,21204,983,4
102011033,Kariong,6485,1035,7
102011034,Kincumber - Picketts Valley,7615,1013,6
102011035,Narara,7157,1026,6
102011036,Niagara Park - Lisarow,8205,1040,7
102011037,Point Clare - Koolewong,6571,1033,7
102011038,Saratoga - Davistown,7160,1056,8
102011039,Terrigal - North Avoca,14849,1078,9
102011040,Umina - Booker Bay - Patonga,24697,977,4
102011041,Wamberal - Forresters Beach,10675,1081,9
102011042,Woy Woy - Blackwall,14346,951,3
102011043,Wyoming,11423,981,4
102021044,Bateau Bay - Killarney Vale,22825,991,4
102021045,Blue Haven - San Remo,11290,920,2
102021046,Budgewoi - Buff Point - Halekula,9728,954,3
102021047,Chittaway Bay - Tumbi Umbi,16006,1018,6
102021048,Gorokan - Kanwal - Charmhaven,22362,917,2
102021049,Jilliby - Yarramalong,3420,1060,8
102021050,Lake Munmorah - Mannering Park,10960,952,3
102021051,Ourimbah - Fountaindale,4928,1052,8
102021052,Summerland Point - Gwandalan,6492,981,4
102021053,The Entrance,15839,945,2
102021054,Toukley - Norah Head,9909,939,2
102021055,Tuggerah - Kangy Angy,5229,1013,6
102021056,Warnervale - Wadalba,20051,1002,5
102021057,Wyong,9120,897,1
103011059,Bathurst - East,12330,984,4
103011060,Bathurst Surrounds,6909,1049,8
103011061,Oberon,4834,965,3
103011612,Bathurst - South,10752,939,2
103011613,Bathurst - West,14313,1011,5
103021062,Condobolin,6372,947,3
103021063,Cowra,9273,914,2
103021064,Cowra Surrounds,5716,974,4
103021065,Forbes,10020,968,3
103021066,Grenfell,3597,960,3
103021067,Parkes (NSW),10919,946,2
103021068,Parkes Surrounds,3262,950,3
103021069,West Wyalong,5525,993,5
103031070,Lithgow,12385,910,2
103031071,Lithgow Surrounds,8448,971,3
103031072,Mudgee,12563,990,4
103031073,Mudgee Surrounds - East,3398,899,1
103031074,Mudgee Surrounds - West,11072,987,4
103041076,Blayney,7517,991,4
103041077,Orange,19023,956,3
103041078,Orange - North,22895,1027,6
103041079,Orange Surrounds,11830,1048,8
104011080,Grafton,19255,907,2
104011081,Grafton Surrounds,16875,951,3
104011082,Maclean - Yamba - Iluka,17533,967,3
104021083,Bellingen,6168,992,5
104021084,Coffs Harbour - North,18099,940,2
104021085,Coffs Harbour - South,11305,929,2
104021086,Coramba - Nana Glen - Bucca,3950,1024,6
104021087,Dorrigo,3250,948,3
104021088,Korora - Emerald Beach,10262,1053,8
104021089,Sawtell - Boambee,20066,976,4
104021090,Urunga,4907,968,3
104021091,Woolgoolga - Arrawarra,14463,972,4
105011092,Bourke - Brewarrina,3428,910,2
105011093,Cobar,4129,965,3
105011094,Coonamble,3926,893,1
105011095,Nyngan - Warren,4591,953,3
105011096,Walgett - Lightning Ridge,5534,883,1
105021097,Broken Hill,17588,913,2
105021098,Far West,2288,879,1
105031099,Coonabarabran,7921,924,2
105031100,Dubbo - East,10633,975,4
105031101,Dubbo - South,19628,1004,5
105031102,Dubbo - West,10317,976,4
105031103,Dubbo Surrounds,5963,1048,7
105031104,Gilgandra,4398,933,2
105031105,Narromine,6458,960,3
105031106,Wellington,8769,922,2
106011107,Branxton - Greta - Pokolbin,12770,1021,6
