Library,Suburb,Suburb_clean,Mapped_SA2,Mapped_SA2_clean,SA2_CODE21,SA2_NAME21,SA2_NAME_clean
St Kilda Library,St Kilda,st kilda,St Kilda,st kilda,,,
Richmond Library,Richmond,richmond,Richmond,richmond,,,
Reservoir Library,Reservoir,reservoir,Reservoir - East,reservoir - east,,,
Hawthorn Library,Hawthorn,hawthorn,Hawthorn,hawthorn,,,
Kew Library,Kew,kew,Kew,kew,,,
Clayton Library,Clayton,clayton,Clayton,clayton,,,
Dandenong Library,Dandenong,dandenong,Dandenong,dandenong,,,
Noble Park Library,Noble Park,noble park,Noble Park,noble park,,,
Bunjil Place Library,Narre Warren,narre warren,Narre Warren - North,narre warren - north,,,
Hampton Park Library,Hampton Park,hampton park,Hampton Park - Lynbrook,hampton park - lynbrook,,,
Mornington Library,Mornington,mornington,Mornington,mornington,,,
Cheltenham Library,Cheltenham,cheltenham,Cheltenham,cheltenham,,,
Sandringham Library,Sandringham,sandringham,Sandringham,sandringham,,,
Brighton Library,Brighton,brighton,Brighton,brighton,,,
Tarneit Library,Tarneit,tarneit,Tarneit,tarneit,,,
Craigieburn Library,Craigieburn,craigieburn,Craigieburn - Mickleham,craigieburn - mickleham,,,
Cobblebank Library,Cobblebank,cobblebank,Melton South,melton south,,,
Geelong Library,Geelong,geelong,Geelong,geelong,,,
