Library,Suburb
State Library Victoria,Melbourne
Library at the Dock,Docklands
Kathleen Syme Library,Carlton
City Library,Melbourne
East Melbourne Library,East Melbourne
Southbank Library at Boyd,Southbank
St Kilda Library,St Kilda
Port Melbourne Library,Port Melbourne
South Melbourne Library,South Melbourne
Albert Park Library,Albert Park
Richmond Library,Richmond
Bargoonga Nganjin North Fitzroy Library,North Fitzroy
Carlton Library,Carlton
Brunswick Library,Brunswick
Coburg Library,Coburg
Preston Library,Preston
Northcote Library,Northcote
Reservoir Library,Reservoir
Footscray Library,Footscray
Sunshine Library,Sunshine
Altona Library,Altona
Newport Library,Newport
Williamstown Library,Williamstown
Box Hill Library,Box Hill
Doncaster Library,Doncaster
Nunawading Library,Nunawading
Camberwell Library,Camberwell
Hawthorn Library,Hawthorn
Kew Library,Kew
Malvern Library,Malvern
Prahran Square Library,Prahran
Toorak/South Yarra Library,South Yarra
Oakleigh Library,Oakleigh
Clayton Library,Clayton
Glen Waverley Library,Glen Waverley
Mount Waverley Library,Mount Waverley
Wheelers Hill Library,Wheelers Hill
Dandenong Library,Dandenong
Springvale Library,Springvale
Noble Park Library,Noble Park
Bunjil Place Library,Narre Warren
Cranbourne Library,Cranbourne
Hampton Park Library,Hampton Park
Frankston Library,Frankston
Mornington Library,Mornington
Cheltenham Library,Cheltenham
Sandringham Library,Sandringham
Brighton Library,Brighton
Eltham Library,Eltham
Greensborough Library,Greensborough
Rosanna Library,Rosanna
Werribee Library,Werribee
Point Cook Library,Point Cook
Tarneit Library,Tarneit
Melton Library,Melton
Sunbury Library,Sunbury
Craigieburn Library,Craigieburn
Broadmeadows Library,Broadmeadows
Cobblebank Library,Cobblebank
Geelong Library,Geelong
